State,StateCode,County,Establishment,Address,City,ZIP,Phone,LastInspection,Priority,InspectionURL,LastUpdated
Indiana,IN,Hamilton,Asian Grill,74 N. 9th Street,Noblesville,,,2023,High,https://hamiltoncounty.in.gov/HealthOnline,6/30/2026
Indiana,IN,Hamilton,Biryani Hut,14350 Mundy Drive Suite #700,Noblesville,,,2023,High,https://hamiltoncounty.in.gov/HealthOnline,6/30/2026
Indiana,IN,Hamilton,La Cascada,400 W. Jackson St,Cicero,,,2023,High,https://hamiltoncounty.in.gov/HealthOnline,6/30/2026
Indiana,IN,Hamilton,New China Buffet,17429 Carey Road,Westfield,,,2023,High,https://hamiltoncounty.in.gov/HealthOnline,6/30/2026
Indiana,IN,Hamilton,Papa Fattoush Restaurant,15 E Main Street,Carmel,,,2023,High,https://hamiltoncounty.in.gov/HealthOnline,6/30/2026
Indiana,IN,Hamilton,Red Habanero,16771 Clover Road,Noblesville,,,2023,High,https://hamiltoncounty.in.gov/HealthOnline,6/30/2026
Indiana,IN,Hamilton,Westfield High School,,Westfield,46074,,2023,High,https://hamiltoncounty.in.gov/HealthOnline,6/30/2026
New York,NY,Sullivan,Mezcla Deli Corp.,10  School  Street,Liberty,12754,,2/4/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Westchester,Ridgeway School,225 Ridgeway,White Plains,10605,,2/12/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Orange,Subway/Auntie Ann'S,470 Route 211 East,Middletown,10940,,5/26/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Clinton,Nccs-Jr./Sr. High School Caferteria,103 State Route 276,Champlain,12919,,5/18/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Chautauqua,Jack'S Barcelona Drive-In,Po Box 101,Westfield,14787,,1/23/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Otsego,Sip & Sail Tavern,80 Water Street,Oneonta,13820,,5/13/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Albany,Cohoes Multi-Service Senior Ctr.,10 Cayuga Plaza,Cohoes,12047,,1/9/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Montgomery,Iroquois Lanes,192 Erie Boulevard,Canajoharie,13317,,5/13/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Jefferson,Liola'S Pizzeria,506   Alexandria Street,Carthage,13619,,9/5/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Sullivan,Chezky'S Pizza Llc,14 Green Unit 1 Avenue,Woodridge,12789,,7/31/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Onondaga,Su Goldstein Student Center Dining,Skytop Road,Syracuse,13244,,4/23/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Tompkins,Sicilian Delight Pizzeria,40 Catherwood Road,Ithaca,14850,,6/2/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Otsego,J & D'S Wagon Wheel,4918 State Hwy 28,Cooperstown,13326,,6/11/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Sullivan,Barryville Hotel,45 Yulan Barryville Rd,Barryville,12719,,4/2/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Jefferson,Tarwater'S Twists-The Blizzard Barn,27957 East Nys Route 342,Black River,13612,,6/16/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Nassau,Bagel Mentch,176 Middle Neck  Road,Great Neck,11021,,5/14/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Greene,Good Tidings Fellowship,739 Sutton Road,Cornwallville,12418,,8/23/2024,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Westchester,Ossining Nutrition Center,95 Broadway,Ossining,10562,,4/29/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Westchester,El Rey Del Monfongo & Bistec Restaur,136 Elm Street,Yonkers,10701,,10/28/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Fulton,Starlite Lanes,9 Montgomery  Street,Gloversville,12078,,8/22/2024,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Westchester,Froggy'S Ii,253 Route 100,Somers,10589,,1/10/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Onondaga,York (The),247 West Fayette Street,Syracuse,13202,,11/19/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Niagara,Newfane Elementary School,2909 Transit Road,Newfane,14108,,3/4/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Chemung,Roundin' Third Sports Grill,255 West Water Street,Elmira,14901,,3/25/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Nassau,Bagel House,2664 Long Beach  Road,Oceanside,11572,,10/31/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Nassau,Lotus Garden,345 Conklin Street,Farmingdale,11735,,2/13/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Chemung,Elmira High School Cafeteria,777 South Main Street,Elmira,14904,,3/2/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Nassau,Hofstra University - Au Bon Pain,116 Hofstra University,Hempstead,11550,,4/19/2024,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Greene,Windham Mountain Inn,137 County Route 12,Windham,12496,,11/5/2024,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Ulster,Pasquale'S Pizza & Restaurant,248 Main Street,New Paltz,12561,,3/13/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Chautauqua,The Cooler Bar & Grill,114 West Main Street,Sherman,14781,,3/12/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Westchester,Puebla Corner,49 Lake Street,White Plains,10604,,5/28/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Sullivan,Yiasou,1980 State Route 52,Liberty,12754,,9/9/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Westchester,No. 1 Kitchen He,Route 6 And Lee Boulevard,Jefferson Valley,10535,,10/10/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Sullivan,Sullivan West-Jeffersonville Campus,33 Schoolhouse Road,Jeffersonville,12748,,1/23/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Genesee,Taco Bell (Store 17313),413 West Main Street,Batavia,14020,,1/26/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Warren,Biscotti Brothers Cafe,One Canada Street,Lake George,12845,,6/13/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Sullivan,Camp Mayin Tohar - Fallsburg,605 Budd  Road,Woodbourne,12788,,8/11/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Niagara,Betty'S Grill,215 Main Street,North Tonawanda,14120,,6/24/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Cortland,Auxiliary Services Corp.,15 Neubig Rd.,Cortland,13045,,5/8/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Columbia,M.C.S. Elementary,102 Harry Howard Avenue,Hudson,12534,,4/27/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Essex,Whiteface Mountain,5021 Route 86,Wilmington,12997,,2/9/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Saratoga,Jimmy'S Pizza & Pasta,31 Kendall Way,Malta,12020,,3/26/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Nassau,"Cheesecake Factory, The",1504 Old Country Road,Westbury,11590,,1/21/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Onondaga,Popeyes Louisiana Kitchen,130 Township Boulevard,Camillus,13031,,6/12/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Wayne,Captain Jacks Goodtime Tavern,8505 Greig Street,Sodus Point,14555,,5/5/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Livingston,Dontonio'S Pizza,303 East Main Street,Avon,14414,,2/26/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Nassau,Hofstra - Bits & Bytes,1000 Fulton Avenue,Hempstead,11550,,9/17/2024,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Lewis,Dragon House 7508 Inc,7508 South State Street,Lowville,13367,,4/2/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Chautauqua,Knights Of Enchanted Dreams,104 West Second Street,Jamestown,14701,,12/18/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Monroe,Empanada Shop,115 West Commercial Street,East Rochester,14445,,1/29/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Chemung,Beecher School,310 Sullivan Street,Elmira,14901,,1/20/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Niagara,Lewiston-Porter Middle School,4061 Creek Road,Youngstown,14174,,3/24/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Jefferson,Josie'S Little Pizzeria,19 Church Street,Alexandria Bay,13607,,7/17/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Schenectady,Brueggers Bagels,1634 Union Street,Schenectady,12309,,2/25/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Westchester,Peppino'S Pizza,80 Route 6,Baldwin Place,10505,,1/16/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Fulton,Mayfield Firemens Association,13-17 School Street,Mayfield,12117,,8/19/2022,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Nassau,Food Trades Program Boces Cca Prog,2850 N Jerusalem Road,Wantagh,11793,,3/30/2023,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Montgomery,Domino'S Pizza,43 Market Street,Amsterdam,12010,,1/23/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Rockland,North Rockland High School,106 Hammond Road,Thiells,10984,,7/10/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Steuben,Hornell Area Family Ymca,18 Center Street,Hornell,14843,,6/3/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,St Lawrence,Royal India Grill,38 Market Street,Potsdam,13676,,6/2/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Dutchess,Cilantro Mexican Restaurant,986 Main Street,Fishkill,12524,,2/18/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Steuben,Wooden Nickel,18 Liberty Street,Bath,14810,,6/16/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Clinton,El Dorado,578 State Route 3,Plattsburgh,12901,,5/27/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Herkimer,Alamo Bar & Grill,8773 South Main Street,Poland,13431,,4/29/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Cortland,Crisol,89 Main Street,Cortland,13045,,3/5/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Livingston,Mei Ho,3163 State Street,Caledonia,14423,,5/20/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Oneida,Tony'S Pizzeria,3899 Oneida Street,"Washington Mills, Ny",13479,,1/29/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Albany,Capital 1 Fried Chicken,108 Central Avenue,Albany,12206,,5/5/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Nassau,Time Out Sports Cafe,616 South Oyster Bay  Road,Hicksville,11801,,6/9/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Jefferson,South Jeff Co. Memorial Vfw 5344,3 Vfw Drive,Adams,13605,,8/13/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Chautauqua,Dunkirk Veterans Wwii,216 Lake Shore Dr. E,Dunkirk,14048,,5/8/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Albany,Copson House,401 New Scotland Avenue,Albany,12208,,4/2/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Steuben,Mountain View Inn,34 Main Street,Atlanta,14808,,5/21/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Montgomery,William B. Tecler School,210 Northern Boulevard,Amsterdam,12010,,7/23/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Allegany,Aces Food Court,Upper College Drive,Alfred,14802,,2/24/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Westchester,Boys & Girls Club Of N. Westchester,351 Main Street,Mount Kisco,10549,,7/10/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Onondaga,Sapori By Antonio,5962 State Route 31,Cicero,13039,,4/9/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Nassau,Jack'S Pizza,165 Long Beach Road,Island Park,11558,,11/10/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Nassau,Applebee'S Neighborhood Grill & Bar,938 South Broadway,Hicksville,11801,,8/28/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Franklin,Loyal Order Of Moose,176 Broadway Street,Saranac Lake,12983,,2/27/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Westchester,Pehquenakonck Country Club - Snack B,101 Bloomerside Road,North Salem,10560,,8/26/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Fulton,Broadalbin-Perth Jr/Sr High School,100 Bridge Street,Broadalbin,12025,,10/6/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Westchester,Youngs Chinese Sushi,350 South Broadway,Tarrytown,10591,,11/20/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Steuben,Steuben Sr Dinner Club/Corning #1,1 Park Lane,Corning,14830,,2/26/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Clinton,Peru Central High School Cafeteria,17 School Street,Peru,12972,,8/13/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Nassau,It'S Greek To Me,127 Jackson Avenue,Syosset,11791,,6/16/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Chautauqua,Dunkirk Elks Club #922,428 Central  Avenue,Dunkirk,14048,,12/17/2024,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Westchester,Dinardo'S Restaurant,76 Westchester Avenue,Pound Ridge,10576,,1/16/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Nassau,Lena Restaurant,1783 Dutch Broadway,Elmont,11003,,10/8/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Chautauqua,Lakewood Cinema Eight,171-3 W Fairmount Ave,Lakewood,14750,,1/17/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Fulton,Gloversville Palace Diner,62 South Main Street,Gloversville,12078,,12/12/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Westchester,Yonkers B.O.E. - Robert C. Dodson Sc,105 Avondale Road,Yonkers,10710,,2/26/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Nassau,Jo Jo Apples Cafe,85 Lido  Boulevard,Point Lookout,11569,,5/12/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Cattaraugus,Rafi'S Kitchen,800 Wayne Street,Olean,14760,,7/8/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Chautauqua,Lakewood Rod & Gun Club Fse,433 East Terrace Avenue,Lakewood,14750,,6/24/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Onondaga,Subway 51072,501 Seventh North Street,Liverpool,13088,,5/22/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,St Lawrence,Hoof And Horn Eatery,32 Market Street,Potsdam,13676,,10/16/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Onondaga,Across The Hall Cafe,258 East Water Street,Syracuse,13202,,5/26/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Genesee,Tim Hortons,20 East Main Street,Batavia,14020,,2/18/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Livingston,Lakeville Fire Department,5939 Stone Hill Road,Lakeville,14480,,2/10/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Greene,Shamrock House,2388 Route 145,East Durham,12423,,3/6/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Seneca,Romulus Central School Summer Feed,5705  Main Street,Romulus,14541,,7/22/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Dutchess,Double O Grill - (Wappinger),1536 Route 9,Wappingers Falls,12590,,4/13/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Niagara,Youngstown Volunteer Fire Company,625 Nancy Price  Drive,Youngstown,14174,,11/10/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Schenectady,Fortune Cookie,3333 Consaul Road,Niskayuna,12309,,1/15/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Albany,Uncommon Grounds - 1225 Western Ave,1225 Western Avenue,Albany,12206,,4/27/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Jefferson,Castle Ice Cream/Car Wash,750 James Street,Clayton,13624,,8/25/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Schuyler,Pudgies Pizza,601 North Franklin Street,Watkins Glen,14891,,1/29/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Westchester,Carvel #1220,262 Saw Mill River Road,Elmsford,10523,,1/16/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Nassau,Rxr Plaza Cafeteria,314 Rxr Plaza,Uniondale,11553,,4/21/2025,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Sullivan,Liberty Middle School,115 Buckley Street,Liberty,12754,,1/15/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Genesee,Alexander Central High,3314 Buffalo Street,Alexander,14005,,4/24/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
New York,NY,Onondaga,Longhorn Steakhouse #5511,140 Township Boulevard,Camillus,13031,,4/20/2026,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,6/30/2026
Indiana,IN,Hamilton,AMOCO,2299 Greenfield Ave.,Noblesville,,,2023,Medium,https://hamiltoncounty.in.gov/HealthOnline,6/30/2026
Indiana,IN,Hamilton,Boathouse,409 West Jackson Street,Cicero,,,2023,Medium,https://hamiltoncounty.in.gov/HealthOnline,6/30/2026
Indiana,IN,Hamilton,Cabos Mexican Grill & Bar,202 W. 161st Street,Westfield,,,2023,Medium,https://hamiltoncounty.in.gov/HealthOnline,6/30/2026
Indiana,IN,Hamilton,Firebirds Wood Fired Grill,9611 N Meridian Street,Indianapolis,,,2023,Medium,https://hamiltoncounty.in.gov/HealthOnline,6/30/2026
Indiana,IN,Hamilton,Fresh Indian Grill,1420 W. Main Street Suite D,Carmel,,,2023,Medium,https://hamiltoncounty.in.gov/HealthOnline,6/30/2026
