State,StateCode,County,Establishment,Address,City,ZIP,Phone,LastInspection,Priority,InspectionURL,LastUpdated
New York,NY,Columbia,M.C.S. Elementary,102 Harry Howard Avenue,Hudson,12534,,2026-04-27,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Essex,Whiteface Mountain,5021 Route 86,Wilmington,12997,,2026-02-09,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Saratoga,Jimmy'S Pizza & Pasta,31 Kendall Way,Malta,12020,,2026-03-26,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Nassau,"Cheesecake Factory, The",1504 Old Country Road,Westbury,11590,,2026-01-21,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Onondaga,Popeyes Louisiana Kitchen,130 Township Boulevard,Camillus,13031,,2026-06-12,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Wayne,Captain Jacks Goodtime Tavern,8505 Greig Street,Sodus Point,14555,,2026-05-05,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Livingston,Dontonio'S Pizza,303 East Main Street,Avon,14414,,2026-02-26,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Nassau,Hofstra - Bits & Bytes,1000 Fulton Avenue,Hempstead,11550,,2024-09-17,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Lewis,Dragon House 7508 Inc,7508 South State Street,Lowville,13367,,2026-04-02,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Chautauqua,Knights Of Enchanted Dreams,104 West Second Street,Jamestown,14701,,2025-12-18,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Monroe,Empanada Shop,115 West Commercial Street,East Rochester,14445,,2026-01-29,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Chemung,Beecher School,310 Sullivan Street,Elmira,14901,,2026-01-20,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Niagara,Lewiston-Porter Middle School,4061 Creek Road,Youngstown,14174,,2026-03-24,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Jefferson,Josie'S Little Pizzeria,19 Church Street,Alexandria Bay,13607,,2025-07-17,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Schenectady,Brueggers Bagels,1634 Union Street,Schenectady,12309,,2025-02-25,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Westchester,Peppino'S Pizza,80 Route 6,Baldwin Place,10505,,2025-01-16,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Fulton,Mayfield Firemens Association,13-17 School Street,Mayfield,12117,,2022-08-19,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Nassau,Food Trades Program Boces Cca Prog,2850 N Jerusalem Road,Wantagh,11793,,2023-03-30,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Montgomery,Domino'S Pizza,43 Market Street,Amsterdam,12010,,2025-01-23,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Rockland,North Rockland High School,106 Hammond Road,Thiells,10984,,2025-07-10,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Steuben,Hornell Area Family Ymca,18 Center Street,Hornell,14843,,2026-06-03,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,St Lawrence,Royal India Grill,38 Market Street,Potsdam,13676,,2026-06-02,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Dutchess,Cilantro Mexican Restaurant,986 Main Street,Fishkill,12524,,2026-02-18,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Steuben,Wooden Nickel,18 Liberty Street,Bath,14810,,2026-06-16,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Clinton,El Dorado,578 State Route 3,Plattsburgh,12901,,2026-05-27,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Herkimer,Alamo Bar & Grill,8773 South Main Street,Poland,13431,,2026-04-29,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Cortland,Crisol,89 Main Street,Cortland,13045,,2026-03-05,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Livingston,Mei Ho,3163 State Street,Caledonia,14423,,2026-05-20,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Oneida,Tony'S Pizzeria,3899 Oneida Street,"Washington Mills, Ny",13479,,2026-01-29,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Albany,Capital 1 Fried Chicken,108 Central Avenue,Albany,12206,,2026-05-05,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Nassau,Time Out Sports Cafe,616 South Oyster Bay  Road,Hicksville,11801,,2026-06-09,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Jefferson,South Jeff Co. Memorial Vfw 5344,3 Vfw Drive,Adams,13605,,2025-08-13,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Chautauqua,Dunkirk Veterans Wwii,216 Lake Shore Dr. E,Dunkirk,14048,,2026-05-08,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Albany,Copson House,401 New Scotland Avenue,Albany,12208,,2026-04-02,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Steuben,Mountain View Inn,34 Main Street,Atlanta,14808,,2026-05-21,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Montgomery,William B. Tecler School,210 Northern Boulevard,Amsterdam,12010,,2025-07-23,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Allegany,Aces Food Court,Upper College Drive,Alfred,14802,,2026-02-24,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Westchester,Boys & Girls Club Of N. Westchester,351 Main Street,Mount Kisco,10549,,2025-07-10,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Onondaga,Sapori By Antonio,5962 State Route 31,Cicero,13039,,2026-04-09,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Nassau,Jack'S Pizza,165 Long Beach Road,Island Park,11558,,2025-11-10,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Nassau,Applebee'S Neighborhood Grill & Bar,938 South Broadway,Hicksville,11801,,2025-08-28,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Franklin,Loyal Order Of Moose,176 Broadway Street,Saranac Lake,12983,,2026-02-27,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Westchester,Pehquenakonck Country Club - Snack B,101 Bloomerside Road,North Salem,10560,,2025-08-26,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Fulton,Broadalbin-Perth Jr/Sr High School,100 Bridge Street,Broadalbin,12025,,2025-10-06,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Westchester,Youngs Chinese Sushi,350 South Broadway,Tarrytown,10591,,2025-11-20,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Steuben,Steuben Sr Dinner Club/Corning #1,1 Park Lane,Corning,14830,,2026-02-26,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Clinton,Peru Central High School Cafeteria,17 School Street,Peru,12972,,2025-08-13,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Nassau,It'S Greek To Me,127 Jackson Avenue,Syosset,11791,,2026-06-16,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Chautauqua,Dunkirk Elks Club #922,428 Central  Avenue,Dunkirk,14048,,2024-12-17,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Westchester,Dinardo'S Restaurant,76 Westchester Avenue,Pound Ridge,10576,,2026-01-16,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Nassau,Lena Restaurant,1783 Dutch Broadway,Elmont,11003,,2025-10-08,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Chautauqua,Lakewood Cinema Eight,171-3 W Fairmount Ave,Lakewood,14750,,2025-01-17,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Fulton,Gloversville Palace Diner,62 South Main Street,Gloversville,12078,,2025-12-12,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Westchester,Yonkers B.O.E. - Robert C. Dodson Sc,105 Avondale Road,Yonkers,10710,,2026-02-26,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Nassau,Jo Jo Apples Cafe,85 Lido  Boulevard,Point Lookout,11569,,2026-05-12,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Cattaraugus,Rafi'S Kitchen,800 Wayne Street,Olean,14760,,2025-07-08,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Chautauqua,Lakewood Rod & Gun Club Fse,433 East Terrace Avenue,Lakewood,14750,,2026-06-24,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Onondaga,Subway 51072,501 Seventh North Street,Liverpool,13088,,2026-05-22,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,St Lawrence,Hoof And Horn Eatery,32 Market Street,Potsdam,13676,,2025-10-16,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Onondaga,Across The Hall Cafe,258 East Water Street,Syracuse,13202,,2026-05-26,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Genesee,Tim Hortons,20 East Main Street,Batavia,14020,,2026-02-18,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Livingston,Lakeville Fire Department,5939 Stone Hill Road,Lakeville,14480,,2026-02-10,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Greene,Shamrock House,2388 Route 145,East Durham,12423,,2026-03-06,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Seneca,Romulus Central School Summer Feed,5705  Main Street,Romulus,14541,,2025-07-22,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Dutchess,Double O Grill - (Wappinger),1536 Route 9,Wappingers Falls,12590,,2026-04-13,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Niagara,Youngstown Volunteer Fire Company,625 Nancy Price  Drive,Youngstown,14174,,2025-11-10,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Schenectady,Fortune Cookie,3333 Consaul Road,Niskayuna,12309,,2026-01-15,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Albany,Uncommon Grounds - 1225 Western Ave,1225 Western Avenue,Albany,12206,,2026-04-27,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Jefferson,Castle Ice Cream/Car Wash,750 James Street,Clayton,13624,,2025-08-25,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Schuyler,Pudgies Pizza,601 North Franklin Street,Watkins Glen,14891,,2026-01-29,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Westchester,Carvel #1220,262 Saw Mill River Road,Elmsford,10523,,2026-01-16,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Nassau,Rxr Plaza Cafeteria,314 Rxr Plaza,Uniondale,11553,,2025-04-21,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Sullivan,Liberty Middle School,115 Buckley Street,Liberty,12754,,2026-01-15,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Genesee,Alexander Central High,3314 Buffalo Street,Alexander,14005,,2026-04-24,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
New York,NY,Onondaga,Longhorn Steakhouse #5511,140 Township Boulevard,Camillus,13031,,2026-04-20,Medium,https://data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,2026-06-30
Indiana,IN,Hamilton,AMOCO,2299 Greenfield Ave.,Noblesville,,,2023,Medium,https://hamiltoncounty.in.gov/HealthOnline,2026-06-30
Indiana,IN,Hamilton,Boathouse,409 West Jackson Street,Cicero,,,2023,Medium,https://hamiltoncounty.in.gov/HealthOnline,2026-06-30
Indiana,IN,Hamilton,Cabos Mexican Grill & Bar,202 W. 161st Street,Westfield,,,2023,Medium,https://hamiltoncounty.in.gov/HealthOnline,2026-06-30
Indiana,IN,Hamilton,Firebirds Wood Fired Grill,9611 N Meridian Street,Indianapolis,,,2023,Medium,https://hamiltoncounty.in.gov/HealthOnline,2026-06-30
Indiana,IN,Hamilton,Fresh Indian Grill,1420 W. Main Street Suite D,Carmel,,,2023,Medium,https://hamiltoncounty.in.gov/HealthOnline,2026-06-30
